"filename", "language", "Markdown", "JSON with Comments", "TypeScript", "Vue", "JSON", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\Tom\greenfox\Vue-Spring-Learning\README.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Tom\greenfox\Vue-Spring-Learning\backend\.eslintrc.js", "JavaScript", 0, 0, 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\Tom\greenfox\Vue-Spring-Learning\backend\.prettierrc", "JSON", 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\Tom\greenfox\Vue-Spring-Learning\backend\README.md", "Markdown", 51, 0, 0, 0, 0, 0, 0, 2, 21, 74
"c:\Users\Tom\greenfox\Vue-Spring-Learning\backend\nest-cli.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\Tom\greenfox\Vue-Spring-Learning\backend\package-lock.json", "JSON", 0, 0, 0, 0, 9441, 0, 0, 0, 1, 9442
"c:\Users\Tom\greenfox\Vue-Spring-Learning\backend\package.json", "JSON", 0, 0, 0, 0, 78, 0, 0, 0, 1, 79
"c:\Users\Tom\greenfox\Vue-Spring-Learning\backend\src\app.module.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Tom\greenfox\Vue-Spring-Learning\backend\src\database\entities\Test.entity.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 4, 14
"c:\Users\Tom\greenfox\Vue-Spring-Learning\backend\src\database\entities\Users.entity.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 4, 14
"c:\Users\Tom\greenfox\Vue-Spring-Learning\backend\src\database\migrations\1700317746886-firstMigration.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 0, 0, 3, 43
"c:\Users\Tom\greenfox\Vue-Spring-Learning\backend\src\database\typeorm-cli.config.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 4, 21
"c:\Users\Tom\greenfox\Vue-Spring-Learning\backend\src\main.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
