Date : 2024-01-12 22:52:41
Directory : c:\Users\Tom\greenfox\Vue-Spring-Learning
Total : 52 files,  29509 codes, 74 comments, 177 blanks, all 29760 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          9 |     27,974 |          0 |          8 |     27,982 |
| Vue                |         12 |        864 |         15 |         60 |        939 |
| TypeScript         |         18 |        464 |          1 |         63 |        528 |
| Markdown           |          3 |         76 |          2 |         29 |        107 |
| JavaScript         |          7 |         60 |         55 |         14 |        129 |
| JSON with Comments |          2 |         51 |          0 |          2 |         53 |
| HTML               |          1 |         20 |          1 |          1 |         22 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                      | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                         |         52 |     29,509 |         74 |        177 |     29,760 |
| . (Files)                                                                                                 |          1 |          2 |          0 |          1 |          3 |
| backend                                                                                                   |         20 |      9,871 |          2 |         65 |      9,938 |
| backend (Files)                                                                                           |          8 |      9,632 |          2 |         27 |      9,661 |
| backend\src                                                                                               |         10 |        210 |          0 |         32 |        242 |
| backend\src (Files)                                                                                       |          2 |         18 |          0 |          4 |         22 |
| backend\src\database                                                                                      |          4 |         77 |          0 |         15 |         92 |
| backend\src\database (Files)                                                                              |          1 |         17 |          0 |          4 |         21 |
| backend\src\database\entities                                                                             |          2 |         20 |          0 |          8 |         28 |
| backend\src\database\migrations                                                                           |          1 |         40 |          0 |          3 |         43 |
| backend\src\modules                                                                                       |          4 |        115 |          0 |         13 |        128 |
| backend\src\modules\users                                                                                 |          4 |        115 |          0 |         13 |        128 |
| backend\src\modules\users (Files)                                                                         |          3 |        110 |          0 |         12 |        122 |
| backend\src\modules\users\models                                                                          |          1 |          5 |          0 |          1 |          6 |
| backend\test                                                                                              |          2 |         29 |          0 |          6 |         35 |
| frontend                                                                                                  |         31 |     19,636 |         72 |        111 |     19,819 |
| frontend (Files)                                                                                          |          7 |     18,502 |          0 |         13 |     18,515 |
| frontend\public                                                                                           |          1 |         20 |          1 |          1 |         22 |
| frontend\src                                                                                              |         18 |      1,087 |         16 |         84 |      1,187 |
| frontend\src (Files)                                                                                      |          4 |        117 |          1 |          7 |        125 |
| frontend\src\components                                                                                   |          1 |         14 |          0 |          2 |         16 |
| frontend\src\models                                                                                       |          2 |        161 |          0 |         16 |        177 |
| frontend\src\router                                                                                       |          1 |         50 |          0 |          4 |         54 |
| frontend\src\views                                                                                        |         10 |        745 |         15 |         55 |        815 |
